a,image,sitelinks
http://www.wikidata.org/entity/Q205707,http://commons.wikimedia.org/wiki/Special:FilePath/Bradley%20Cooper.jpg,135
http://www.wikidata.org/entity/Q231237,http://commons.wikimedia.org/wiki/Special:FilePath/Karen%20Gillan%20%2853197567618%29.jpg,67
http://www.wikidata.org/entity/Q431753,http://commons.wikimedia.org/wiki/Special:FilePath/Sean%20Gunn%20January%202015.jpg,37
http://www.wikidata.org/entity/Q525065,http://commons.wikimedia.org/wiki/Special:FilePath/Michael%20Rooker%202013%2002%20%28cropped%29.jpg,47
http://www.wikidata.org/entity/Q3395911,http://commons.wikimedia.org/wiki/Special:FilePath/Stuttgart%20-Comic%20Con%20Germany%202019-%207d%20by-RaBoe%20037%20%28cropped%29.jpg,46
http://www.wikidata.org/entity/Q160432,http://commons.wikimedia.org/wiki/Special:FilePath/Jude%20Law-67896.jpg,90
http://www.wikidata.org/entity/Q4724034,http://commons.wikimedia.org/wiki/Special:FilePath/Algenis%20Perez%20Soto%20en%20LosCriticologos.jpg,6
http://www.wikidata.org/entity/Q5530706,http://commons.wikimedia.org/wiki/Special:FilePath/Gemma%20Chan%20at%20the%202026%20Berlin%20International%20Film%20Festival-69949%20%28cropped%29.jpg,50
http://www.wikidata.org/entity/Q19666388,http://commons.wikimedia.org/wiki/Special:FilePath/TeyonahParris-byPhilipRomano%20%28cropped%29.jpg,34
http://www.wikidata.org/entity/Q24312969,http://commons.wikimedia.org/wiki/Special:FilePath/Captain%20Marvel%20at%20Edwards%20Air%20Force%20Base%2006%20%28cropped%29.png,41
http://www.wikidata.org/entity/Q4488,http://commons.wikimedia.org/wiki/Special:FilePath/Clancy%20Brown%20by%20Gage%20Skidmore%202.jpg,45
http://www.wikidata.org/entity/Q355168,http://commons.wikimedia.org/wiki/Special:FilePath/Lee%20Pace%20Paris%20Fashion%20Week%20Spring%20Summer%202020.jpg,45
http://www.wikidata.org/entity/Q514569,http://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%20nicdao%202022%201.jpg,9
http://www.wikidata.org/entity/Q636653,http://commons.wikimedia.org/wiki/Special:FilePath/Danai%20Gurira%202024%20%28cropped%29.jpg,58
http://www.wikidata.org/entity/Q2388576,http://commons.wikimedia.org/wiki/Special:FilePath/Taika%20Waititi%20photo%20by%20pouria%20afkhami%20%28cropped%29.jpg,53
http://www.wikidata.org/entity/Q66132662,http://commons.wikimedia.org/wiki/Special:FilePath/Zach%20Barack%20Lounging.jpg,7
http://www.wikidata.org/entity/Q336788,http://commons.wikimedia.org/wiki/Special:FilePath/Oscar%20Isaac%20at%2082nd%20Venice%20International%20Film%20Festival-1%20%28cropped%29.jpg,60
http://www.wikidata.org/entity/Q362616,http://commons.wikimedia.org/wiki/Special:FilePath/JonBernthal-byPhilipRomano2.jpg,54
http://www.wikidata.org/entity/Q454231,http://commons.wikimedia.org/wiki/Special:FilePath/Charlie%20Cox%2002%20%2829327255635%29%20%28cropped%29.jpg,46
http://www.wikidata.org/entity/Q503027,http://commons.wikimedia.org/wiki/Special:FilePath/Powers-boothe-zumawirewestphotos963564.jpg,38
http://www.wikidata.org/entity/Q1151023,http://commons.wikimedia.org/wiki/Special:FilePath/Numan%20Acar%20Cannes%202017.jpg,18
http://www.wikidata.org/entity/Q1323408,http://commons.wikimedia.org/wiki/Special:FilePath/Enver%20Gjokaj.jpg,28
http://www.wikidata.org/entity/Q3208406,http://commons.wikimedia.org/wiki/Special:FilePath/Chloe%20Bennet%20%2848379301637%29%20%28cropped%29.jpg,42
http://www.wikidata.org/entity/Q3778264,http://commons.wikimedia.org/wiki/Special:FilePath/JB%20Smoove%202014%20NBC%20Universal%20Summer%20Press%20Day%20%28cropped%29.jpg,31
http://www.wikidata.org/entity/Q7562868,http://commons.wikimedia.org/wiki/Special:FilePath/ARealPainBFILFF131024%20%2843%20of%20138%29%20%2854063996577%29%20%28cropped%29.jpg,28
http://www.wikidata.org/entity/Q15144287,http://commons.wikimedia.org/wiki/Special:FilePath/Brett%20Dalton%20at%20PaleyFest%202014.jpg,30
http://www.wikidata.org/entity/Q15542608,http://commons.wikimedia.org/wiki/Special:FilePath/Wyatt%20Russell%20on%20Wizard%20Radio%20Media.jpg,32
http://www.wikidata.org/entity/Q17284894,http://commons.wikimedia.org/wiki/Special:FilePath/B.%20J.%20Britt%20at%20San%20Diego%20Comic%20Con%202025.jpg,9
http://www.wikidata.org/entity/Q22277803,http://commons.wikimedia.org/wiki/Special:FilePath/Florence%20Pugh%20at%20the%202024%20Toronto%20International%20Film%20Festival%2013%20%28cropped%202%20%E2%80%93%20color%20adjusted%29.jpg,64
http://www.wikidata.org/entity/Q24579708,http://commons.wikimedia.org/wiki/Special:FilePath/Clare%20Dunne%20at%20DIFF%202026.jpg,3
http://www.wikidata.org/entity/Q47540928,http://commons.wikimedia.org/wiki/Special:FilePath/Jeff%20Ward%20%2848379171762%29%20%28cropped%29.jpg,20
http://www.wikidata.org/entity/Q19417,http://commons.wikimedia.org/wiki/Special:FilePath/Jimmy%20Urine%202023%20%28cropped%29.jpg,12
http://www.wikidata.org/entity/Q26231,http://commons.wikimedia.org/wiki/Special:FilePath/Corey%20Stoll%20by%20Gage%20Skidmore.jpg,38
http://www.wikidata.org/entity/Q28310,http://commons.wikimedia.org/wiki/Special:FilePath/Scott%20Adkins%20%2853319300983%29.jpg,47
