c,cLabel,genderLabel
http://www.wikidata.org/entity/Q19836,Cosmic Cube,
http://www.wikidata.org/entity/Q73544,Mockingbird,female
http://www.wikidata.org/entity/Q1369292,Phil Coulson,male
http://www.wikidata.org/entity/Q1424480,Daisy Johnson,female
http://www.wikidata.org/entity/Q2009899,Mantis,female
http://www.wikidata.org/entity/Q2473486,Destroyer,
http://www.wikidata.org/entity/Q2790757,Zeke Stane,male
http://www.wikidata.org/entity/Q2893095,Registration acts,
http://www.wikidata.org/entity/Q3496918,Star-Lord,male
http://www.wikidata.org/entity/Q3785970,Hive,
http://www.wikidata.org/entity/Q4135325,Erik Selvig,male
http://www.wikidata.org/entity/Q4412856,Asgardian,
http://www.wikidata.org/entity/Q6483429,Lance Hunter,male
http://www.wikidata.org/entity/Q6911845,Morgan Stark,female
http://www.wikidata.org/entity/Q6911845,Morgan Stark,male
http://www.wikidata.org/entity/Q7289996,Rampage,
http://www.wikidata.org/entity/Q7296820,Ravonna Renslayer,female
http://www.wikidata.org/entity/Q11703564,Sanctum Sanctorum,
http://www.wikidata.org/entity/Q16386826,Alphonso MacKenzie,male
http://www.wikidata.org/entity/Q20679944,Wakandan,
http://www.wikidata.org/entity/Q20979384,Jemma Simmons,female
http://www.wikidata.org/entity/Q21042559,Darcy Lewis,female
http://www.wikidata.org/entity/Q23750236,Raza,male
http://www.wikidata.org/entity/Q23750252,General Gabriel,male
http://www.wikidata.org/entity/Q23750365,J.A.R.V.I.S.,
http://www.wikidata.org/entity/Q23750514,William Ginter Riva,male
http://www.wikidata.org/entity/Q23750547,Abu Bakaar,male
http://www.wikidata.org/entity/Q23750571,Major Allen,male
http://www.wikidata.org/entity/Q23750808,Amira Ahmed,female
http://www.wikidata.org/entity/Q23751000,Omar,male
http://www.wikidata.org/entity/Q23751352,Ahmed,male
http://www.wikidata.org/entity/Q23751414,Jimmy,male
http://www.wikidata.org/entity/Q23751461,Pratt,male
http://www.wikidata.org/entity/Q23751498,Ramirez,female
http://www.wikidata.org/entity/Q23751702,Colonel Craig,male
http://www.wikidata.org/entity/Q23767768,General Joe Greller,male
http://www.wikidata.org/entity/Q23767790,Major Kathleen Sparr,female
http://www.wikidata.org/entity/Q23767804,Martina,female
http://www.wikidata.org/entity/Q23767828,Stanley,male
http://www.wikidata.org/entity/Q23832138,Wilson,male
http://www.wikidata.org/entity/Q23894605,Michelle Jones,female
http://www.wikidata.org/entity/Q23894608,Flash Thompson,male
http://www.wikidata.org/entity/Q23894967,Tony Stark,male
http://www.wikidata.org/entity/Q23895000,Pepper Potts,female
http://www.wikidata.org/entity/Q23895040,James Rhodes,male
http://www.wikidata.org/entity/Q23895063,Natasha Romanoff,female
http://www.wikidata.org/entity/Q23895076,Justin Hammer,male
http://www.wikidata.org/entity/Q23900364,Ivan Vanko,male
http://www.wikidata.org/entity/Q23900377,Nick Fury,male
http://www.wikidata.org/entity/Q23900407,Christine Everhart,female
http://www.wikidata.org/entity/Q23900437,Senator Stern,male
http://www.wikidata.org/entity/Q23900446,Howard Stark,male
http://www.wikidata.org/entity/Q23900470,Happy Hogan,male
http://www.wikidata.org/entity/Q23991129,Peter Parker,male
http://www.wikidata.org/entity/Q23991271,May Parker,female
http://www.wikidata.org/entity/Q23991694,Bucky Barnes,male
http://www.wikidata.org/entity/Q24004885,T'Challa,male
http://www.wikidata.org/entity/Q24004905,T'Chaka,male
http://www.wikidata.org/entity/Q24022098,Steve Rogers,male
http://www.wikidata.org/entity/Q24022345,Sam Wilson,male
http://www.wikidata.org/entity/Q24022457,Zemo,male
http://www.wikidata.org/entity/Q24022542,Wanda Maximoff,female
http://www.wikidata.org/entity/Q24022584,Vision,male
http://www.wikidata.org/entity/Q24026688,Clint Barton,male
http://www.wikidata.org/entity/Q24026703,Scott Lang,male
http://www.wikidata.org/entity/Q24027376,Thaddeus Ross,male
http://www.wikidata.org/entity/Q24027486,Sharon Carter,female
http://www.wikidata.org/entity/Q24027955,Melinda May,female
http://www.wikidata.org/entity/Q24027972,Daisy Johnson,female
http://www.wikidata.org/entity/Q24027982,Leo Fitz,male
http://www.wikidata.org/entity/Q24034679,Peggy Carter,female
http://www.wikidata.org/entity/Q24034722,Stephen Strange,male
http://www.wikidata.org/entity/Q24040742,Brock Rumlow,male
http://www.wikidata.org/entity/Q24040913,Everett K. Ross,male
http://www.wikidata.org/entity/Q24040935,Maria Stark,female
http://www.wikidata.org/entity/Q24040949,Miriam,female
http://www.wikidata.org/entity/Q24040958,Watcher Informant,male
http://www.wikidata.org/entity/Q24040968,Vasily Karpov,male
http://www.wikidata.org/entity/Q24043637,Karl Mordo,male
http://www.wikidata.org/entity/Q24045741,The Ancient One,female
http://www.wikidata.org/entity/Q24045748,Nicodemus West,male
http://www.wikidata.org/entity/Q24045752,Wong,male
http://www.wikidata.org/entity/Q24046102,Thor,male
http://www.wikidata.org/entity/Q24046106,Jane Foster,female
http://www.wikidata.org/entity/Q24046118,Loki,male
http://www.wikidata.org/entity/Q24046118,Loki,genderfluid
http://www.wikidata.org/entity/Q24046126,Odin,male
http://www.wikidata.org/entity/Q24046150,Heimdall,male
http://www.wikidata.org/entity/Q24046153,Laufey,male
http://www.wikidata.org/entity/Q24046160,Volstagg,male
http://www.wikidata.org/entity/Q24049976,Hogun,male
http://www.wikidata.org/entity/Q24049985,Fandral,male
http://www.wikidata.org/entity/Q24049994,Lady Sif,female
http://www.wikidata.org/entity/Q24049999,Frigga,female
http://www.wikidata.org/entity/Q24050065,Peter Quill,male
http://www.wikidata.org/entity/Q24050072,Gamora,female
http://www.wikidata.org/entity/Q24050079,Drax,male
http://www.wikidata.org/entity/Q24050083,Groot,male organism
http://www.wikidata.org/entity/Q24050088,Rocket,male organism
http://www.wikidata.org/entity/Q24050093,Yondu Udonta,male
http://www.wikidata.org/entity/Q53519878,Claire Weiss,female
http://www.wikidata.org/entity/Q55221009,The Other,male
http://www.wikidata.org/entity/Q55405344,Karen,
http://www.wikidata.org/entity/Q56231221,Councilwoman Hawley,female
http://www.wikidata.org/entity/Q56379586,I.C.E.R.,
http://www.wikidata.org/entity/Q60485015,Aaron Davis,male
http://www.wikidata.org/entity/Q60485245,Quentin Beck,male
http://www.wikidata.org/entity/Q60485274,Maria Hill,female
http://www.wikidata.org/entity/Q60485305,John Garrett,male
http://www.wikidata.org/entity/Q60485320,Michael Peterson,male
http://www.wikidata.org/entity/Q60828180,Melissa Bowen,female
http://www.wikidata.org/entity/Q63405860,Howard the Duck,male
