c,p,o,oLabel
http://www.wikidata.org/entity/Q23751000,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23751000,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23751352,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23751352,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23751414,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23751414,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23751461,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23751461,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23751498,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23751498,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23751702,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23751702,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23767768,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23767768,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q19836,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15706911,fictional object
http://www.wikidata.org/entity/Q73544,http://www.wikidata.org/prop/direct/P26,http://www.wikidata.org/entity/Q19095,Hawkeye
http://www.wikidata.org/entity/Q73544,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q73544,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q14831768,mutate
http://www.wikidata.org/entity/Q73544,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q73544,http://www.wikidata.org/prop/direct/P451,http://www.wikidata.org/entity/Q79037,Spider-Man
http://www.wikidata.org/entity/Q73544,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q322646,Avengers
http://www.wikidata.org/entity/Q1369292,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q30,United States
http://www.wikidata.org/entity/Q1369292,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q1369292,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q1369292,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q1369292,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q5446967,field agent
http://www.wikidata.org/entity/Q1369292,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q911971,S.H.I.E.L.D.
http://www.wikidata.org/entity/Q1369292,http://www.wikidata.org/prop/direct/P7047,http://www.wikidata.org/entity/Q3052324,Hydra
http://www.wikidata.org/entity/Q1424480,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1094617,mutant
http://www.wikidata.org/entity/Q1424480,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1114461,comics character
http://www.wikidata.org/entity/Q1424480,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q1424480,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q1424480,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q322646,Avengers
http://www.wikidata.org/entity/Q1424480,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q911971,S.H.I.E.L.D.
http://www.wikidata.org/entity/Q1424480,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q1858350,Inhumans
http://www.wikidata.org/entity/Q1424480,http://www.wikidata.org/prop/direct/P7047,http://www.wikidata.org/entity/Q840291,Magneto
http://www.wikidata.org/entity/Q2009899,http://www.wikidata.org/prop/direct/P27,http://www.wikidata.org/entity/Q881,Vietnam
http://www.wikidata.org/entity/Q2009899,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q14831768,mutate
http://www.wikidata.org/entity/Q2009899,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q157195,waiter
http://www.wikidata.org/entity/Q2009899,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q14915751,prostitute
http://www.wikidata.org/entity/Q2009899,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q322646,Avengers
http://www.wikidata.org/entity/Q2473486,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1114461,comics character
http://www.wikidata.org/entity/Q2473486,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q2473486,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q2473486,http://www.wikidata.org/prop/direct/P7047,http://www.wikidata.org/entity/Q717588,Thor
http://www.wikidata.org/entity/Q2790757,http://www.wikidata.org/prop/direct/P22,http://www.wikidata.org/entity/Q2487192,Iron Monger
http://www.wikidata.org/entity/Q2790757,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q2790757,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773317,television character
http://www.wikidata.org/entity/Q2790757,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q1319624,The Order
http://www.wikidata.org/entity/Q2790757,http://www.wikidata.org/prop/direct/P7047,http://www.wikidata.org/entity/Q180704,Iron Man
http://www.wikidata.org/entity/Q23750236,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23750236,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23750252,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23750252,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23750365,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23750365,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q18327510,fictional robot
http://www.wikidata.org/entity/Q23750365,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q25933185,artificial intelligence in fiction
http://www.wikidata.org/entity/Q23750514,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15632617,fictional human
http://www.wikidata.org/entity/Q23750514,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q15773347,film character
http://www.wikidata.org/entity/Q23750514,http://www.wikidata.org/prop/direct/P106,http://www.wikidata.org/entity/Q901,scientist
