name,wiki,file
Thor,Thor,thor.webp
Thanos,Thanos,thanos.webp
Tony Stark,Iron Man,tony-stark.webp
Natasha Romanoff,Natasha Romanoff,natasha-romanoff.webp
Stephen Strange,Doctor Strange,stephen-strange.webp
Loki,Loki,loki.webp
Nick Fury,Nick Fury,nick-fury.webp
Wanda Maximoff,Scarlet Witch,wanda-maximoff.webp
Peter Quill,Star-Lord,peter-quill.webp
Odin,Odin,odin.webp
Bruce Banner,Hulk,bruce-banner.webp
Peter Parker,Spider-Man,peter-parker.webp
Clint Barton,Hawkeye,clint-barton.webp
Bucky Barnes,Winter Soldier,bucky-barnes.webp
T'Challa,T'Challa,t-challa.webp
Vision,Vision,vision.webp
Carol Danvers,Captain Marvel,carol-danvers.webp
Scott Lang,Ant-Man,scott-lang.webp
Hela,Hela,hela.webp
Gamora,Gamora,gamora.webp
James Rhodes,War Machine,james-rhodes.webp
Nebula,Nebula,nebula.webp
Johann Schmidt,Red Skull,johann-schmidt.webp
Hank Pym,Hank Pym,hank-pym.webp
Pepper Potts,Pepper Potts,pepper-potts.webp
Peggy Carter,Peggy Carter,peggy-carter.webp
Rocket,Rocket Raccoon,rocket.webp
Groot,Groot,groot.webp
Valkyrie,Valkyrie,valkyrie.webp
Phil Coulson,Phil Coulson,phil-coulson.webp
Heimdall,Heimdall,heimdall.webp
Hope van Dyne,Wasp,hope-van-dyne.webp
Monica Rambeau,Monica Rambeau,monica-rambeau.webp
Ultron,Ultron,ultron.webp
Shuri,Black Panther,shuri.webp
Yelena Belova,Black Widow,yelena-belova.webp
Wong,Wong,wong.webp
The Ancient One,Ancient One,the-ancient-one.webp
Drax,Drax the Destroyer,drax.webp
Erik Killmonger,Erik Killmonger,erik-killmonger.webp
Ego,Ego,ego.webp
Mantis,Mantis,mantis.webp
Shang-Chi,Shang-Chi,shang-chi.webp
Kamala Khan,Ms. Marvel,kamala-khan.webp
Pietro Maximoff,Quicksilver,pietro-maximoff.webp
Yondu Udonta,Yondu,yondu-udonta.webp
Okoye,Okoye,okoye.webp
Dormammu,Dormammu,dormammu.webp
Kate Bishop,Kate Bishop,kate-bishop.webp
Korg,Korg,korg.webp
Agents of S.H.I.E.L.D.,Agents of S.H.I.E.L.D.,agents-of-s-h-i-e-l-d.webp
Iron Man 3,Iron Man 3,iron-man-3.webp
Avengers: Endgame,Avengers: Endgame,avengers-endgame.webp
The Avengers,The Avengers,the-avengers.webp
Captain America: The First Avenger,Captain America: The First Avenger,captain-america-the-first-avenger.webp
Iron Man 2,Iron Man 2,iron-man-2.webp
Thor: The Dark World,Thor: The Dark World,thor-the-dark-world.webp
What If...?,What If...?,what-if.webp
Avengers: Age of Ultron,Avengers: Age of Ultron,avengers-age-of-ultron.webp
Avengers: Infinity War,Avengers: Infinity War,avengers-infinity-war.webp
Iron Man,Iron Man,iron-man.webp
Spider-Man: Homecoming,Spider-Man: Homecoming,spider-man-homecoming.webp
Captain America: Civil War,Captain America: Civil War,captain-america-civil-war.webp
Daredevil,Daredevil,daredevil.webp
Guardians of the Galaxy,Guardians of the Galaxy,guardians-of-the-galaxy.webp
Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,guardians-of-the-galaxy-vol-2.webp
The Incredible Hulk,The Incredible Hulk,the-incredible-hulk.webp
Thor: Ragnarok,Thor: Ragnarok,thor-ragnarok.webp
Captain America: The Winter Soldier,Captain America: The Winter Soldier,captain-america-the-winter-soldier.webp
Spider-Man: Far From Home,Spider-Man: Far From Home,spider-man-far-from-home.webp
Captain Marvel,Captain Marvel,captain-marvel.webp
Jessica Jones,Jessica Jones,jessica-jones.webp
Earth,Earth,earth.webp
Human,Humans,human.webp
Hawkeye,Hawkeye,hawkeye.webp
Ant-Man,Ant-Man,ant-man.webp
Asgardian,Asgardians,asgardian.webp
Black Panther,Black Panther,black-panther.webp
The Punisher,The Punisher,the-punisher.webp
Ant-Man and the Wasp,Ant-Man and the Wasp,ant-man-and-the-wasp.webp
Luke Cage,Luke Cage,luke-cage.webp
Doctor Strange,Doctor Strange,doctor-strange.webp
Ms. Marvel,Ms. Marvel,ms-marvel.webp
She-Hulk: Attorney at Law,She-Hulk: Attorney at Law,she-hulk-attorney-at-law.webp
Iron Fist,Iron Fist,iron-fist.webp
Watcher Informant,Watcher Informant,watcher-informant.webp
Avengers,Avengers,avengers.webp
Runaways,Runaways,runaways.webp
Spider-Man: No Way Home,Spider-Man: No Way Home,spider-man-no-way-home.webp
WHiH World News,WHiH World News,whih-world-news.webp
Space Stone,Space Stone,space-stone.webp
WandaVision,WandaVision,wandavision.webp
Asgardian Armor,Asgardian Armor,asgardian-armor.webp
Doctor Strange in the Multiverse of Madness,Doctor Strange in the Multiverse of Madness,doctor-strange-in-the-multiverse-of-madness.webp
Mind Stone,Mind Stone,mind-stone.webp
Eternals,Eternals,eternals.webp
What If... Captain Carter Were The First Avenger?,What If... Captain Carter Were The First Avenger?,what-if-captain-carter-were-the-first-avenger.webp
Reality Stone,Reality Stone,reality-stone.webp
