c,w,wLabel,typeLabel,date
http://www.wikidata.org/entity/Q66133315,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66133318,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66133320,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66133315,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-26T00:00:00Z
http://www.wikidata.org/entity/Q66133318,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-26T00:00:00Z
http://www.wikidata.org/entity/Q66133320,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-26T00:00:00Z
http://www.wikidata.org/entity/Q66133315,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-27T00:00:00Z
http://www.wikidata.org/entity/Q66133318,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-27T00:00:00Z
http://www.wikidata.org/entity/Q66133320,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-04-27T00:00:00Z
http://www.wikidata.org/entity/Q66133315,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-05-04T00:00:00Z
http://www.wikidata.org/entity/Q66133318,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-05-04T00:00:00Z
http://www.wikidata.org/entity/Q66133320,http://www.wikidata.org/entity/Q182218,The Avengers,film,2012-05-04T00:00:00Z
http://www.wikidata.org/entity/Q66133307,http://www.wikidata.org/entity/Q466611,The Incredible Hulk,film,2008-06-13T00:00:00Z
http://www.wikidata.org/entity/Q66133307,http://www.wikidata.org/entity/Q466611,The Incredible Hulk,film,2008-06-20T00:00:00Z
http://www.wikidata.org/entity/Q66133307,http://www.wikidata.org/entity/Q466611,The Incredible Hulk,film,2008-07-10T00:00:00Z
http://www.wikidata.org/entity/Q66133325,http://www.wikidata.org/entity/Q1201853,Thor: The Dark World,film,2013-10-31T00:00:00Z
http://www.wikidata.org/entity/Q66133325,http://www.wikidata.org/entity/Q1201853,Thor: The Dark World,sequel film,2013-10-31T00:00:00Z
http://www.wikidata.org/entity/Q66133325,http://www.wikidata.org/entity/Q1201853,Thor: The Dark World,film,2013-11-08T00:00:00Z
http://www.wikidata.org/entity/Q66133325,http://www.wikidata.org/entity/Q1201853,Thor: The Dark World,sequel film,2013-11-08T00:00:00Z
http://www.wikidata.org/entity/Q66133325,http://www.wikidata.org/entity/Q1201853,Thor: The Dark World,film,2013-11-14T00:00:00Z
http://www.wikidata.org/entity/Q66133325,http://www.wikidata.org/entity/Q1201853,Thor: The Dark World,sequel film,2013-11-14T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-03-26T00:00:00Z
http://www.wikidata.org/entity/Q66133366,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-03-26T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-03-27T00:00:00Z
http://www.wikidata.org/entity/Q66133366,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-03-27T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-03-28T00:00:00Z
http://www.wikidata.org/entity/Q66133366,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-03-28T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-04-03T00:00:00Z
http://www.wikidata.org/entity/Q66133366,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-04-03T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-04-04T00:00:00Z
http://www.wikidata.org/entity/Q66133366,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-04-04T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-04-10T00:00:00Z
http://www.wikidata.org/entity/Q66133366,http://www.wikidata.org/entity/Q1765358,Captain America: The Winter Soldier,film,2014-04-10T00:00:00Z
http://www.wikidata.org/entity/Q66133358,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-07-31T00:00:00Z
http://www.wikidata.org/entity/Q66133359,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-07-31T00:00:00Z
http://www.wikidata.org/entity/Q66133364,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-07-31T00:00:00Z
http://www.wikidata.org/entity/Q66133358,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-01T00:00:00Z
http://www.wikidata.org/entity/Q66133359,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-01T00:00:00Z
http://www.wikidata.org/entity/Q66133364,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-01T00:00:00Z
http://www.wikidata.org/entity/Q66133358,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-13T00:00:00Z
http://www.wikidata.org/entity/Q66133359,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-13T00:00:00Z
http://www.wikidata.org/entity/Q66133364,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-13T00:00:00Z
http://www.wikidata.org/entity/Q66133358,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-14T00:00:00Z
http://www.wikidata.org/entity/Q66133359,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-14T00:00:00Z
http://www.wikidata.org/entity/Q66133364,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-14T00:00:00Z
http://www.wikidata.org/entity/Q66133358,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-28T00:00:00Z
http://www.wikidata.org/entity/Q66133359,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-28T00:00:00Z
http://www.wikidata.org/entity/Q66133364,http://www.wikidata.org/entity/Q5887360,Guardians of the Galaxy,film,2014-08-28T00:00:00Z
http://www.wikidata.org/entity/Q66133331,http://www.wikidata.org/entity/Q5901134,Ant-Man,film,2015-07-17T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-04-22T00:00:00Z
http://www.wikidata.org/entity/Q66132777,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-04-22T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-04-23T00:00:00Z
http://www.wikidata.org/entity/Q66132777,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-04-23T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-04-30T00:00:00Z
http://www.wikidata.org/entity/Q66132777,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-04-30T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-05-01T00:00:00Z
http://www.wikidata.org/entity/Q66132777,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-05-01T00:00:00Z
http://www.wikidata.org/entity/Q66132762,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-05-07T00:00:00Z
http://www.wikidata.org/entity/Q66132777,http://www.wikidata.org/entity/Q14171368,Avengers: Age of Ultron,film,2015-05-07T00:00:00Z
http://www.wikidata.org/entity/Q66133333,http://www.wikidata.org/entity/Q20001199,Guardians of the Galaxy Vol. 2,film,2017-05-05T00:00:00Z
http://www.wikidata.org/entity/Q66133335,http://www.wikidata.org/entity/Q20001199,Guardians of the Galaxy Vol. 2,film,2017-05-05T00:00:00Z
http://www.wikidata.org/entity/Q66133337,http://www.wikidata.org/entity/Q20001199,Guardians of the Galaxy Vol. 2,film,2017-05-05T00:00:00Z
http://www.wikidata.org/entity/Q66133338,http://www.wikidata.org/entity/Q20001199,Guardians of the Galaxy Vol. 2,film,2017-05-05T00:00:00Z
http://www.wikidata.org/entity/Q66133342,http://www.wikidata.org/entity/Q20001199,Guardians of the Galaxy Vol. 2,film,2017-05-05T00:00:00Z
http://www.wikidata.org/entity/Q66133355,http://www.wikidata.org/entity/Q20001199,Guardians of the Galaxy Vol. 2,film,2017-05-05T00:00:00Z
http://www.wikidata.org/entity/Q66133368,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-04T00:00:00Z
http://www.wikidata.org/entity/Q66133372,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-04T00:00:00Z
http://www.wikidata.org/entity/Q66133380,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-04T00:00:00Z
http://www.wikidata.org/entity/Q66133381,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-04T00:00:00Z
http://www.wikidata.org/entity/Q66133383,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-04T00:00:00Z
http://www.wikidata.org/entity/Q66133388,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-04T00:00:00Z
http://www.wikidata.org/entity/Q66133368,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-05T00:00:00Z
http://www.wikidata.org/entity/Q66133372,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-05T00:00:00Z
http://www.wikidata.org/entity/Q66133380,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-05T00:00:00Z
http://www.wikidata.org/entity/Q66133381,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-05T00:00:00Z
http://www.wikidata.org/entity/Q66133383,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-05T00:00:00Z
http://www.wikidata.org/entity/Q66133388,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-05T00:00:00Z
http://www.wikidata.org/entity/Q66133368,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-06T00:00:00Z
http://www.wikidata.org/entity/Q66133372,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-06T00:00:00Z
http://www.wikidata.org/entity/Q66133380,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-06T00:00:00Z
http://www.wikidata.org/entity/Q66133381,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-06T00:00:00Z
http://www.wikidata.org/entity/Q66133383,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-06T00:00:00Z
http://www.wikidata.org/entity/Q66133388,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-06T00:00:00Z
http://www.wikidata.org/entity/Q66133368,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-13T00:00:00Z
http://www.wikidata.org/entity/Q66133372,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-13T00:00:00Z
http://www.wikidata.org/entity/Q66133380,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-13T00:00:00Z
http://www.wikidata.org/entity/Q66133381,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-13T00:00:00Z
http://www.wikidata.org/entity/Q66133383,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-13T00:00:00Z
http://www.wikidata.org/entity/Q66133388,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-13T00:00:00Z
http://www.wikidata.org/entity/Q66133368,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-18T00:00:00Z
http://www.wikidata.org/entity/Q66133372,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-18T00:00:00Z
http://www.wikidata.org/entity/Q66133380,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-18T00:00:00Z
http://www.wikidata.org/entity/Q66133381,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-18T00:00:00Z
http://www.wikidata.org/entity/Q66133383,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-18T00:00:00Z
http://www.wikidata.org/entity/Q66133388,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-18T00:00:00Z
http://www.wikidata.org/entity/Q66133368,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-20T00:00:00Z
http://www.wikidata.org/entity/Q66133372,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-20T00:00:00Z
http://www.wikidata.org/entity/Q66133380,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-20T00:00:00Z
http://www.wikidata.org/entity/Q66133381,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-20T00:00:00Z
http://www.wikidata.org/entity/Q66133383,http://www.wikidata.org/entity/Q22957393,Ant-Man and the Wasp,film,2018-07-20T00:00:00Z
http://www.wikidata.org/entity/Q66191428,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191496,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191596,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191655,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191701,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191882,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66196132,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66196208,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66196265,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66196306,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191428,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191496,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191596,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191655,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191701,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191882,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66196132,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66196208,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66196265,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66196306,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-24T00:00:00Z
http://www.wikidata.org/entity/Q66191428,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191496,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191596,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191655,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191701,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191882,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66196132,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66196208,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66196265,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66196306,http://www.wikidata.org/entity/Q209538,Iron Man 3,film,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191428,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191496,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191596,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191655,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-25T00:00:00Z
http://www.wikidata.org/entity/Q66191701,http://www.wikidata.org/entity/Q209538,Iron Man 3,threequel,2013-04-25T00:00:00Z
